feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,WB16A3C
-2.6641543,-0.10017298,-0.08830355,-0.6307213,-1.1206565,-1.3036214,-1.0823915,3
1.0408305,0.64470714,0.8358753,0.22029904,-0.0019027479,-1.8764174,-0.804561,1
-1.0336698,-2.4177454,-0.47943288,-2.60019,-0.77365214,-2.3660824,1.6265762,2
-0.3227423,-0.6137125,-1.3980082,-1.4951862,1.4346069,-2.3549993,1.3844457,1
-0.18381497,-0.08248573,1.5750757,-0.8765937,1.827787,-1.0606977,1.291826,1
1.1448053,-1.315171,0.60580814,-1.57234,1.0567712,0.08613136,2.5115626,1
0.5638492,-0.49864176,0.13622706,-0.5625788,0.35154593,-0.12898773,0.7250608,2
-0.20651779,-1.0214837,0.5684145,0.6100982,0.9880129,1.7279624,1.635786,1
-1.2213906,1.0362068,-1.1507475,-0.4119707,1.0254045,1.2601272,-0.046065126,1
-0.09713709,0.11427385,0.5226799,-0.81104094,0.6150408,2.1873698,0.7028105,1
0.48550686,-1.2290536,0.27054134,0.15200031,2.1231112,2.2573738,-0.46731117,3
3.5753694,-3.2214518,0.93581027,1.8851379,0.86649513,1.1528717,-0.09642451,3
-1.1932094,2.1386535,-0.845588,-0.85042256,1.018076,-1.0306823,0.9203615,1
-1.4242342,-1.9284099,1.431543,-0.5060577,-0.0057318285,-1.1982594,-0.70697606,2
-1.0193945,2.4014895,-0.00199458,-1.0124762,0.14414965,0.41594923,1.1523925,2
1.1047553,-2.281419,1.4412135,-0.100463204,0.3669659,0.032452922,0.067914784,2
4.523094,-1.3946754,0.23671307,0.84081304,-0.23528324,-0.85650265,-2.7852101,2
1.2577332,-2.2094836,0.22319783,-0.02947937,0.84146637,0.2192341,-0.26723227,2
1.3175946,-0.6353667,0.17684317,1.8506087,-1.1125083,-1.7243245,0.34196785,2
1.516929,-0.408264,0.9198078,1.2412301,-0.94089836,-0.29372233,-0.028240226,3
2.6793633,-0.7769952,2.7722628,1.1995635,-0.0040666424,-1.3767797,-2.0266879,3
0.32687408,0.16619766,-0.058116615,-0.11197507,-1.1435039,-0.079820864,-1.3193601,5
-0.38882732,0.05317543,0.19790837,-0.861193,0.110066846,0.84088606,0.6471321,1
1.3301283,-2.4780915,3.7440376,0.23152244,0.7175542,0.48814422,-1.753378,2
-0.3892228,-1.1802329,-1.7744209,-0.11274394,-0.8472347,-0.016145594,-1.6890446,4
4.852306,-1.474386,3.0044265,-0.6770654,1.391982,-2.549232,-3.019757,5
-2.5003088,0.73252964,0.066096485,-0.27519804,-1.4364779,-0.49696505,-0.14674442,2
2.5615778,-0.2546264,0.708604,2.8543527,-0.69896674,-3.144282,-0.103096455,2
2.9088533,6.9255266,0.3316247,-1.1351193,3.5375338,0.026492685,5.1915784,2
