is_senior,sale_calls,bugs_faced,monthly_usage,consumer_trust,interactions,discount,renewal
0,2,2,10,4,0.36787944117144233,3,1
1,3,4,10,5,0.5934303402594008,4,1
0,7,2,13,3,0.0301973834223185,4,1
0,0,2,15,3,1.0,4,1
0,0,3,13,2,1.0,4,1
0,1,3,8,3,0.6065306597126334,4,1
0,1,3,10,4,0.6065306597126334,4,1
1,0,2,10,3,0.0,4,0
0,1,2,14,4,0.6065306597126334,4,1
0,5,2,6,4,0.0820849986238988,2,0
0,0,4,10,3,1.0,4,0
1,6,2,8,5,0.8347011117784134,2,1
1,3,1,11,4,0.5934303402594008,4,1
0,4,1,8,2,0.1353352832366127,3,1
0,0,0,7,3,1.0,0,1
0,7,3,12,3,0.0301973834223185,4,1
0,4,2,11,4,0.1353352832366127,4,1
0,0,7,5,3,1.0,4,0
0,2,2,8,2,0.36787944117144233,3,1
0,8,1,8,5,0.01831563888873418,2,1
0,3,1,11,4,0.22313016014842982,4,1
0,2,2,16,4,0.36787944117144233,4,1
0,3,1,8,4,0.22313016014842982,3,1
0,4,2,9,2,0.1353352832366127,4,1
0,1,3,8,3,0.6065306597126334,0,1
1,5,1,8,3,0.7768698398515702,3,1
0,1,2,8,4,0.6065306597126334,3,1
0,5,2,3,4,0.0820849986238988,1,0
0,2,2,14,2,0.36787944117144233,4,1
0,1,2,13,4,0.6065306597126334,4,1
0,0,2,9,3,1.0,2,1
0,2,3,12,2,0.36787944117144233,4,1
0,1,2,7,4,0.6065306597126334,3,1
1,2,1,11,3,0.4511883639059735,4,1
1,0,1,15,3,0.0,4,1
1,3,4,9,4,0.5934303402594008,3,1
0,6,2,12,3,0.049787068367863944,3,1
0,2,2,13,4,0.36787944117144233,4,1
0,0,0,6,5,1.0,0,1
0,2,2,8,4,0.36787944117144233,4,1
0,1,0,7,3,0.6065306597126334,3,1
0,6,1,9,3,0.049787068367863944,3,1
0,4,2,4,3,0.1353352832366127,3,0
1,1,2,8,3,0.2591817793182821,3,0
0,2,3,13,4,0.36787944117144233,4,1
0,5,3,14,2,0.0820849986238988,4,1
0,2,1,11,4,0.36787944117144233,4,1
0,3,1,5,4,0.22313016014842982,1,1
0,2,2,7,4,0.36787944117144233,2,1
0,1,5,16,4,0.6065306597126334,4,1
1,5,0,5,4,0.7768698398515702,1,1
1,3,3,9,2,0.5934303402594008,4,1
1,3,1,14,5,0.5934303402594008,4,1
1,2,4,6,4,0.4511883639059735,3,0
0,5,0,8,2,0.0820849986238988,2,1
1,2,2,11,4,0.4511883639059735,3,1
0,2,0,10,4,0.36787944117144233,4,1
0,2,1,10,3,0.36787944117144233,3,1
0,0,1,11,3,1.0,4,1
0,3,0,9,3,0.22313016014842982,2,1
0,5,2,14,3,0.0820849986238988,4,1
0,2,2,9,2,0.36787944117144233,4,1
1,2,3,9,3,0.4511883639059735,2,1
0,4,0,11,2,0.1353352832366127,3,1
0,5,2,5,4,0.0820849986238988,1,1
0,4,3,10,3,0.1353352832366127,4,1
0,2,2,12,2,0.36787944117144233,4,1
1,2,1,10,4,0.4511883639059735,4,1
0,2,2,16,3,0.36787944117144233,4,1
1,2,2,6,5,0.4511883639059735,3,1
1,2,2,5,4,0.4511883639059735,3,1
0,3,1,5,4,0.22313016014842982,2,1
0,5,3,10,3,0.0820849986238988,2,1
1,3,5,10,4,0.5934303402594008,4,0
0,3,3,10,4,0.22313016014842982,4,1
0,5,3,15,4,0.0820849986238988,4,1
1,4,1,17,4,0.6988057880877978,4,1
0,1,2,14,3,0.6065306597126334,4,1
0,2,3,14,3,0.36787944117144233,4,1
0,1,3,7,4,0.6065306597126334,2,1
1,5,2,11,3,0.7768698398515702,4,1
0,0,3,9,4,1.0,3,1
0,5,3,20,3,0.0820849986238988,4,1
0,4,5,13,2,0.1353352832366127,4,0
0,3,1,7,4,0.22313016014842982,1,1
0,3,6,12,4,0.22313016014842982,4,1
0,3,3,5,4,0.22313016014842982,0,1
0,1,2,8,3,0.6065306597126334,4,1
1,1,0,5,2,0.2591817793182821,2,1
0,2,1,15,4,0.36787944117144233,4,1
